e00-ctx300k | KV 3,782,286 | quality PASS | | e00-ctx300k | 3,782,286 (-11.9%) | 59.5 (+2.2%) | 121.7 (+9.9%) | 187.6 (+1.6%) | 88.9 (-2.2%) | 68.1 (+0.0%) | 81.3 (-4.4%) | 40.9 (+3.7%) | 1,867.3 | 1,959.0 | 116.2 (+18.3%) | 85.6 (+31.3%) | PASS |
e05-roce32mb | KV 3,719,280 | quality PASS | | e05-roce32mb | 3,719,280 (-13.4%) | 60.0 (+3.0%) | 124.8 (+12.6%) | 191.7 (+3.7%) | 90.6 (-0.3%) | 71.7 (+5.4%) | 84.9 (-0.1%) | 40.7 (+3.2%) | 1,704.4 | 1,972.5 | 115.8 (+17.9%) | 84.9 (+30.2%) | PASS |
e10-ctx500k | KV 4,172,017 | quality PASS | | e10-ctx500k | 4,172,017 (-2.9%) | 56.1 (-3.7%) | 124.1 (+12.0%) | 190.1 (+2.9%) | 85.9 (-5.4%) | 65.5 (-3.7%) | 85.0 (-0.1%) | 38.8 (-1.8%) | 1,868.9 | 1,962.7 | 114.7 (+16.8%) | 85.1 (+30.5%) | PASS |
e06-exl3lim | KV 3,729,968 | quality PASS | | e06-exl3lim | 3,729,968 (-13.2%) | 61.3 (+5.2%) | 122.3 (+10.4%) | 195.2 (+5.7%) | 90.2 (-0.8%) | 71.9 (+5.6%) | 88.4 (+3.9%) | 42.3 (+7.2%) | 1,922.2 | 2,016.9 | 116.7 (+18.8%) | 83.6 (+28.2%) | PASS |
e09-sr4 | KV 3,725,682 | quality PASS | | e09-sr4 | 3,725,682 (-13.3%) | 62.0 (+6.4%) | 121.5 (+9.7%) | 195.0 (+5.6%) | 92.2 (+1.5%) | 75.7 (+11.2%) | 88.2 (+3.7%) | 38.5 (-2.4%) | 1,916.6 | 2,021.3 | 117.9 (+20.1%) | 84.7 (+29.9%) | PASS |
e07-gather4 | KV 3,768,739 | quality PASS | | e07-gather4 | 3,768,739 (-12.3%) | 61.0 (+4.6%) | 120.1 (+8.4%) | 189.6 (+2.6%) | 90.6 (-0.3%) | 80.3 (+18.1%) | 82.9 (-2.5%) | 42.3 (+7.2%) | 1,635.8 | 1,699.7 | 116.0 (+18.1%) | 89.1 (+36.7%) | PASS |
e08-sharedexp | KV 3,814,599 | quality PASS | | e08-sharedexp | 3,814,599 (-11.2%) | 61.8 (+6.0%) | 124.0 (+12.0%) | 201.3 (+8.9%) | 91.6 (+0.8%) | 89.1 (+30.9%) | 84.6 (-0.5%) | 38.2 (-3.1%) | 1,883.7 | 1,983.5 | 117.7 (+19.9%) | 84.5 (+29.6%) | PASS |
e01-buffsize | KV 3,726,094 | quality PASS | | e01-buffsize | 3,726,094 (-13.3%) | 59.5 (+2.2%) | 127.4 (+15.0%) | 198.4 (+7.4%) | 95.8 (+5.4%) | 78.4 (+15.2%) | 84.4 (-0.8%) | 39.9 (+1.0%) | 1,919.8 | 2,035.9 | 117.8 (+20.0%) | 86.1 (+32.1%) | PASS |
e03-seqs16 | KV 3,748,406 | quality PASS | | e03-seqs16 | 3,748,406 (-12.7%) | 58.8 (+0.9%) | 130.4 (+17.7%) | 190.9 (+3.3%) | 91.0 (+0.2%) | 70.6 (+3.7%) | 81.7 (-3.9%) | 42.5 (+7.6%) | 1,643.8 | 2,015.3 | 115.1 (+17.2%) | 84.9 (+30.2%) | PASS |
e11-final500k | KV 4,224,689 | quality PASS | | e11-final500k | 4,224,689 (-1.6%) | 60.8 (+4.4%) | 120.7 (+8.9%) | 197.5 (+6.9%) | 93.6 (+3.0%) | 67.0 (-1.5%) | 85.5 (+0.6%) | 37.6 (-4.7%) | 1,923.2 | 2,016.5 | 116.2 (+18.3%) | 86.0 (+31.9%) | PASS |
e02-gmu82 | KV 4,775,278 | quality PASS | | e02-gmu82 | 4,775,278 (+11.2%) | 59.8 (+2.7%) | 123.6 (+11.6%) | 188.0 (+1.7%) | 88.5 (-2.6%) | 84.6 (+24.3%) | 80.9 (-4.9%) | 34.7 (-12.2%) | 1,907.6 | 2,002.2 | 114.7 (+16.8%) | 85.3 (+30.8%) | PASS |
e12-final500k-s16 | KV 4,011,085 | quality PASS | | e12-final500k-s16 | 4,011,085 (-6.6%) | 59.9 (+2.8%) | 125.8 (+13.6%) | 190.2 (+2.9%) | 90.7 (-0.2%) | 68.5 (+0.7%) | 82.8 (-2.6%) | 36.7 (-7.1%) | 1,877.9 | 2,007.3 | 115.7 (+17.8%) | 84.7 (+29.9%) | PASS |
